date,exercise,stance,grip,equipment1,equipment2,equipment3,tempo,band tension,chain tension,setNumber,weight,reps,RPE,superset with,notes
,,,,,,,,,,6,385,5,6.5,,
,OHP (chin pin),,,,,,,,,1,140,7,6,,
,,,,,,,,,,2,150,7,8.5,,
,,,,,,,,,,3,150,7,9.5,,
,,,,,,,,,,4,140,7,7.5,,
,row (barbell),,,wrist straps,,,,,,1,245,9,,,
,,,,,,,,,,2,245,8,,,
3/26/19,lowbar squat (low pin),,,,,,,,,1,330,4,6,bench press 0.2.0,
,,,,,,,,,,2,345,4,7.5,bench press 0.2.0,
,,,,,,,,,,3,355,4,9,bench press 0.2.0,
,,,,,,,,,,4,340,4,8.5,bench press 0.2.0,
,bench press,,,,,,0.2.0,,,1,240,4,8,lowbar squat (low pin),
,,,,,,,,,,2,230,4,7,lowbar squat (low pin),
,,,,,,,,,,3,230,4,8,lowbar squat (low pin),
,,,,,,,,,,4,230,4,8,lowbar squat (low pin),
,,,,,,,,,,5,230,4,8,,
,bench press (incline),,,,,,0.1.0,,,1,185,7,8.5,,
,,,,,,,,,,2,185,7,8,,
,,,,,,,,,,3,185,6,8.5,,
,OHP (low pin),,,,,,,,,1,155,4,7.5,no mirror (balance off),
,,,,,,,,,,2,160,4,8.5,no mirror (balance off),
,,,,,,,,,,3,160,4,10,no mirror (balance off),
,,,,,,,,,,4,145,6,9,no mirror (balance off),
3/27/19,bench press,,wide,,,,0.1.0,,,1,230,7,6,,
,,,,,,,,,,2,240,7,6.5,,
,,,,,,,,,,3,250,7,9,,
,,,,,,,,,,4,240,7,,,
,highbar squat,,,,,,,,,1,295,7,<6,,
,,,,,,,,,,2,310,7,7,,
,,,,,,,,,,3,325,7,9,,
,,,,,,,,,,4,300,7,7.5,,
,OHP (barbell),,,,,,,,,1,135,7,6,,
,,,,,,,,,,2,145,7,8,,
,,,,,,,,,,3,140,7,8,,
,,,,,,,,,,4,140,7,8,,
,conv DL,,,,,,0.1.0,,,1,365,4,6,,
,,,,,,,,,,2,385,4,7.5,,
,,,,,,,,,,3,385,4,8,,
,,,,,,,,,,4,365,4,7,,
3/30/19,lowbar squat,,,belt,,,,,,1,405,1,7.5,,
,,,,,,,,,,2,350,5,6,,
,,,,,,,,,,3,365,5,7,,
,,,,,,,,,,4,380,5,8.5,,
,,,,,,,,,,5,355,5,7,,
,,,,,,,,,,6,355,5,7.5,,
,bench press,,,,,,,,,1,310,1,9,,
,,,,,,,,,,2,255,5,6,,
,,,,,,,,,,3,265,5,7.5,,
,,,,,,,,,,4,270,5,8.5,,
,,,,,,,,,,5,270,5,10,,
,,,,,,,,,,6,255,5,7,,
,bench press (low pin),,,,,,,,,1,245,6,9,,
,,,,,,,,,,2,245,6,10,,
,row (barbell),,,,,,,,,1,245,9,,,
,,,,,,,,,,2,245,9,,,
,,,,,,,,,,3,245,9,,,
3/31/19,bench press,,close,,,,0.1.0,,,1,285,1,8,conv Dl,
,,,,,,,,,,2,235,6,6.5,conv Dl,
,,,,,,,,,,3,235,6,6.5,conv Dl,
,,,,,,,,,,4,245,6,8,conv Dl,
,,,,,,,,,,5,245,6,10,conv Dl,
,,,,,,,,,,6,235,6,8.5,conv Dl,
,conv DL,,,belt,,,,,,1,445,1,7.5,bench press close 0.1.0,
,,,,,,,,,,2,405,5,6,bench press close 0.1.0,
,,,,,,,,,,3,420,5,7,bench press close 0.1.0,
,,,,,,,,,,4,430,5,8.5,bench press close 0.1.0,
,,,,,,,,,,5,405,5,7,bench press close 0.1.0,
,,,,,,,,,,6,405,5,7.5,bench press close 0.1.0,
,OHP (barbell),,,,,,,,,1,155,5,8,,
,,,,,,,,,,2,155,5,8,,
,,,,,,,,,,3,155,5,8.5,,
,,,,,,,,,,4,155,5,,,
4/2/19,lowbar squat (pins just above parallel),,,,,,,,,1,330,4,<6,,
,,,,,,,,,,2,350,4,7,,
,,,,,,,,,,3,360,4,8,,
,,,,,,,,,,4,350,4,7.5,,
,bench press,,wide,,,,0.2.0,,,1,245,4,8,,
,,,,,,,,,,2,245,4,8,,
,,,,,,,,,,3,245,4,8,,
,,,,,,,,,,4,245,4,9,,
,,,,,,,,,,5,235,4,,,
,,,,,,,,,,1,155,4,7.5,,
,,,,,,,,,,2,160,4,8,,
,,,,,,,,,,3,160,4,8.5,,
,,,,,,,,,,4,160,4,,,
4/3/19,bench press,,wide,,,,0.1.0,,,1,230,7,7,,
,,,,,,,,,,2,235,7,7.5,,
,,,,,,,,,,3,240,7,8,,
,,,,,,,,,,4,240,7,8,,
,,,,,,,,,,5,240,7,9.5,,
,highbar squat,,,,,,,,,1,295,7,6.5,,
,,,,,,,,,,2,305,7,7.5,,
,,,,,,,,,,3,305,7,7.5,,
,,,,,,,,,,4,305,7,8,,
,OHP (chin pin),,,,,,,,,1,135,7,7,,
,,,,,,,,,,2,145,7,8,,
,,,,,,,,,,3,145,7,8.5,,
,,,,,,,,,,4,145,7,9,,
,conv DL,,,wrist straps,,,0.1.0,,,1,365,4,6,,
,,,,,,,,,,2,385,4,7,,
,,,,,,,,,,3,410,4,9,,
,,,,,,,,,,4,375,4,7,,
4/6/19,lowbar squat,,,belt,,,,,,1,415,1,9,,
,,,,,,,,,,2,350,5,6.5,,
,,,,,,,,,,3,365,5,7.5,,
,,,,,,,,,,4,375,5,8.5,,
,bench press,,,,,,,,,1,305,1,9,,
,,,,,,,,,,2,255,5,6,,
,,,,,,,,,,3,265,5,8,,
,,,,,,,,,,4,265,5,8.5,,
,,,,,,,,,,5,255,5,7,,
,,,,,,,,,,6,260,5,8.5,,
,OHP (barbell),,,belt,,,0.1.0,,,1,155,5,8,,
,,,,,,,,,,2,160,5,9,,
,,,,,,,,,,3,160,5,9,,
4/7/19,bench press,,close,,,,0.1.0,,,1,240,6,6.5,conv DL belt,
,,,,,,,,,,2,250,6,8,conv DL belt,
,,,,,,,,,,3,250,6,9.5,conv DL belt,
,,,,,,,,,,4,240,6,8.5,conv DL belt,
,,,,,,,,,,5,240,6,,conv DL belt,
,conv DL,,,belt,,,,,,1,450,1,8,bench press close 0.1.0,
,,,,,,,,,,2,415,5,6.5,bench press close 0.1.0,
,,,,,,,,,,3,425,5,7.5,bench press close 0.1.0,
,,,,,,,,,,4,435,5,9,bench press close 0.1.0,
4/9/19,bench press,,,,,,0.2.0,,,1,245,4,7,,
,,,,,,,,,,2,255,4,8.5,,
,,,,,,,,,,3,255,4,9,,
,,,,,,,,,,4,245,4,9,,
,lowbar squat (pins just above parallel),,,,,,,,,1,330,4,6,,
,,,,,,,,,,2,350,4,7,,
,,,,,,,,,,3,365,4,8,,
,OHP (chin pin),,,,,,,,,1,155,4,7,,
,,,,,,,,,,2,160,4,8,,
,,,,,,,,,,3,165,4,8.5,,
,,,,,,,,,,4,170,4,9,,
,bench press,,wide,,,,0.1.0,,,1,235,7,6,,
,,,,,,,,,,2,245,7,8,,
,,,,,,,,,,3,250,7,9.5,,
,highbar squat,,,,,,,,,1,295,7,6,,
,,,,,,,,,,2,310,7,7.5,,
,,,,,,,,,,3,315,7,9,,
,OHP (low pin),,,,,,,,,1,140,7,7,,
,,,,,,,,,,2,145,7,7.5,,
,,,,,,,,,,3,155,7,9.5,,
,conv DL,,,,,,0.1.0,,,1,385,4,7.5,,
,,,,,,,,,,2,395,4,8,,
4/13/19,bench press,,,,,,0.2.0,,,1,135,10,<6,,(Shoulder pain today) this set was mostly pain free
,,,,,,,,,,2,145,10,<6,,(Shoulder pain today) this set was mostly pain free
,,,,,,,,,,3,155,10,<6,,(Shoulder pain today) this set was mostly pain free
,,,,,,,,,,4,175,10,<6,,(Shoulder pain today) slight ache after this set
,,,,,,,,,,5,165,10,<6,,(Shoulder pain today) this set was mostly pain free
,lowbar squat,,,belt,,,,,,1,405,1,8,,
,,,,,,,,,,2,355,4,6,,
,,,,,,,,,,3,370,4,7,,
,,,,,,,,,,4,385,4,8.5,,
,,,,,,,,,,5,365,4,7.5,,
,,,,,,,,,,6,365,4,7.5,,
,OHP (barbell),,,belt,,,0.1.0,,,1,155,5,8,,
,,,,,,,,,,2,160,5,9.5,,
,,,,,,,,,,3,150,5,8,,shoulder pain after
,,,,,,,,,,4,135,3,<6,,Shoulder pain during set
4/14/19,conv DL,,,belt,,,,,,1,460,1,8,,
,,,,,,,,,,2,415,5,6,,
,,,,,,,,,,3,430,5,7.5,,
,,,,,,,,,,4,440,5,9,,
,,,,,,,,,,5,415,5,7.5,,
,,,,,,,,,,6,415,5,8,,
,row (barbell),,,,,,,,,1,245,10,,,
,,,,,,,,,,2,245,8,,,
,,,,,,,,,,3,245,9,,,
4/16/19,lowbar squat,,,,,,0.1.0,,,1,315,4,6.5,,
,,,,,,,,,,2,325,4,7.5,,
,,,,,,,,,,3,335,4,8,,
,,,,,,,,,,4,335,4,8.5,,
,,,,,,,,,,5,320,4,7.5,,
,bench press,,close,,,,0.1.0,,,1,245,5,7,,
,,,,,,,,,,2,245,5,8,,
,,,,,,,,,,3,235,5,7,,
,,,,,,,,,,4,235,5,8,,
,,,,,,,,,,5,235,5,8,,
4/17/19,bench press,,wide,,,,0.1.0,,,1,230,7,7,,
,,,,,,,,,,2,230,7,7,,
,,,,,,,,,,3,230,7,7.5,,
,,,,,,,,,,4,230,7,8,,
,,,,,,,,,,5,230,7,9,,
,highbar squat,,,,,,,,,1,300,7,6,,
,,,,,,,,,,2,315,7,7.5,,
,,,,,,,,,,3,325,7,9,,
,OHP (low pin),,,,,,,,,1,140,7,7,,
,,,,,,,,,,2,145,7,8,conv dl 0.1.0,
,,,,,,,,,,3,145,7,9,conv dl 0.1.0,
,,,,,,,,,,4,145,7,9.5,conv dl 0.1.0,
,conv DL,,,wrist straps,,,0.1.0,,,1,365,4,6,ohp (low pin),
,,,,,,,,,,2,385,4,7,ohp (low pin),
,,,,,,,,,,3,395,4,8,ohp (low pin),
,,,,,,,,,,4,395,4,8,ohp (low pin),
4/20/19,bench press,,,,,,,,,1,305,1,8.5,,
,,,,,,,,,,2,260,5,7,,
,,,,,,,,,,3,270,5,9,,
,,,,,,,,,,4,270,5,9.5,,
,,,,,,,,,,5,260,5,8.5,,
,,,,,,,,,,6,260,5,9,,
,bench press (low pin),,,,,,,,,1,250,4,7,,
,,,,,,,,,,2,255,4,9.5,,
,,,,,,,,,,3,250,4,8,,
,lowbar squat,,,belt,,,,,,1,415,1,8.5,,
,,,,,,,,,,2,360,4,6,,
,,,,,,,,,,3,375,4,7.5,,
,,,,,,,,,,4,385,4,8.5,,
,,,,,,,,,,5,365,4,7.5,,
,,,,,,,,,,6,365,4,7,,
4/21/19,bench press,,close,,,,0.1.0,,,1,235,6,6,,
,,,,,,,,,,2,245,6,7.5,,
,,,,,,,,,,3,250,6,10,,
,,,,,,,,,,4,240,6,8.5,,
,,,,,,,,,,5,240,6,9,,
,conv DL,,,belt,,,,,,1,465,1,8.5,,
,,,,,,,,,,2,415,5,6,,
,,,,,,,,,,3,430,5,8,,
,,,,,,,,,,4,430,5,9,,
,,,,,,,,,,5,405,5,7,,
,,,,,,,,,,6,405,5,6.5,,
,row (barbell),,,,,,,,,1,245,8,,OHP belt,
,,,,,,,,,,2,255,8,,OHP belt,
,,,,,,,,,,3,255,8,,OHP belt,
,,,,,,,,,,4,255,8,,OHP belt,
,OHP (barbell),,,belt,,,0.1.0,,,1,155,5,7.5,rows (barbell),
,,,,,,,,,,2,160,5,8,rows (barbell),
,,,,,,,,,,3,160,5,9,rows (barbell),
,,,,,,,,,,4,160,5,9.5,rows (barbell),
,,,,,,,,,,5,160,5,10,,
4/23/19,lowbar squat,,,,,,0.1.0,,,1,315,4,6.5,,
,,,,,,,,,,2,325,4,7.5,,
,,,,,,,,,,3,335,4,8,,
,,,,,,,,,,4,340,4,8.5,,
,bench press,,,,,,0.2.0,,,1,245,4,8,,
,,,,,,,,,,2,245,4,8.5,,
,,,,,,,,,,3,245,4,8.5,,
,,,,,,,,,,4,245,4,9,,
,,,,,,,,,,5,245,4,10,,
,,,,,,,,,,6,235,4,8,,
,OHP (low pin),,,,,,,,,1,155,4,7,,
,,,,,,,,,,2,165,4,9.5,,
,,,,,,,,,,3,155,4,8,,
,,,,,,,,,,4,155,4,8,,
,,,,,,,,,,1,245,7,7.5,,
,,,,,,,,,,2,245,7,8,,
,,,,,,,,,,3,245,7,8.5,,
,,,,,,,,,,4,245,7,10,,
,,,,,,,,,,5,235,7,8,,
,highbar squat,,,,,,,,,1,315,7,7.5,,
,,,,,,,,,,2,315,7,8.5,,
,,,,,,,,,,3,300,7,7,,
,,,,,,,,,,4,300,7,8,,
,conv DL,,,wrist straps,,,0.1.0,,,1,365,4,6,,
,,,,,,,,,,2,385,4,7,,
,,,,,,,,,,3,405,4,8,,
,,,,,,,,,,4,405,4,8.5,,
,OHP (barbell),,,,,,,,,1,135,7,6,,
,,,,,,,,,,2,145,7,7.5,,
,,,,,,,,,,3,155,7,10,,
4/27/19,lowbar squat,,,belt,,,,,,1,415,1,8.5,,
,,,,,,,,,,2,360,4,6,,
,,,,,,,,,,3,375,4,7,,
,,,,,,,,,,4,390,4,9,,
,,,,,,,,,,5,365,4,7.5,,
,,,,,,,,,,5,365,4,8,,
,bench press,,,,,,,,,1,310,1,9,,
,,,,,,,,,,2,265,4,7,,
,,,,,,,,,,3,275,4,8.5,,
,,,,,,,,,,4,265,4,7.5,,
,,,,,,,,,,5,265,4,8,,
,,,,,,,,,,6,265,4,8,,
,,,,,,,,,,7,265,4,8.5,,
,,,,,,,,,,8,265,4,,,
,OHP (barbell),,,belt,,,0.1.0,,,1,155,4,6.5,,
,,,,,,,,,,2,165,4,9.5,,
,,,,,,,,,,3,160,4,8.5,,
,,,,,,,,,,4,160,4,9,,
,,,,,,,,,,5,160,4,9.5,,
